Open,High,Low,Close,Moving Average 50
314.22,314.5,313.5,314.18,311.1
314.2,314.2,313.4,313.86,311.14
313.86,314.1,313.11,313.36,311.18
313.36,313.61,312.63,312.72,311.22
312.72,313.08,311.61,312.03,311.23
309.84,310.51,307.65,307.75,311.14
307.75,308.37,307,308.27,311.07
308.26,308.27,306.15,306.48,310.99
306.48,306.82,304.29,304.97,310.86
304.97,305.12,302.1,303.46,310.7
303.46,304.52,303.08,304.09,310.55
304.08,305.33,303.63,305.24,310.42
305.24,305.5,303.83,303.89,310.27
303.89,303.91,303.03,303.86,310.14
303.86,304.66,302.78,304.55,310.01
304.55,304.83,303.52,303.7,309.85
303.7,305.74,303.7,304.67,309.69
304.67,305.68,303.63,304.13,309.51
303.47,303.83,301.28,302.98,309.32
302.99,304.98,302.87,304.77,309.17
304.78,304.95,303.46,303.96,309.02
303.96,304.38,302.64,303.9,308.91
303.89,304.13,302.51,303.84,308.78
303.84,305.12,303.84,304.54,308.69
304.54,305.27,303.97,304.66,308.63
304.66,304.87,304.12,304.5,308.57
304.5,305.03,304.06,304.57,308.47
304.56,304.85,303.82,304.17,308.35
304.17,304.5,303.5,304.27,308.27
304.26,306.98,304,306.69,308.23
306.69,307.64,306.18,307.29,308.19
306.17,306.39,304.52,305.23,308.13
305.23,305.25,302.07,302.86,308.01
302.86,303.1,300.69,301.51,307.86
301.54,302.84,301.45,301.99,307.69
301.99,302.91,301.39,302.6,307.53
302.61,302.67,300.5,301.64,307.36
301.64,301.92,300.74,301.83,307.19
301.8,302.5,301.54,302.14,307.02
302.14,302.58,301.71,301.79,306.84
301.79,302.09,300.63,300.89,306.66
300.89,301.09,299.85,300.47,306.46
300.46,301.04,299.66,300.35,306.21
300.35,301.46,299.42,300.02,305.94
301.42,301.73,298.93,300.59,305.69
300.58,302.38,300.57,301.95,305.45
301.97,303.43,301.92,302.58,305.23
302.59,303.33,301.49,303.21,305.02
303.21,303.38,302.57,302.69,304.8
302.69,303.67,302.69,303.54,304.58
303.54,303.81,303.27,303.35,304.37
303.35,303.62,303.21,303.58,304.16
303.57,304.02,303.38,303.63,303.97
303.64,303.83,303.04,303.12,303.78
303.12,303.51,302.7,302.93,303.59
302.94,303.1,302.22,302.82,303.5
302.83,304.45,302.44,304.44,303.42
304.01,305.38,303.82,304.79,303.38
304.8,305.96,304.73,305.47,303.39
305.47,306.68,305.24,306.56,303.46
306.56,307.33,306.44,306.89,303.51
306.89,306.92,306.27,306.79,303.54
306.79,307.53,306.6,307.21,303.61
307.21,307.39,306.2,306.31,303.66
306.31,306.56,305.69,306.44,303.7
306.44,306.63,305.91,306.52,303.75
306.52,307.06,306.03,307.06,303.8
307.06,307.43,306.9,307.42,303.87
307.42,307.92,306.67,307.68,303.96
307.68,310.2,307.6,308.59,304.04
309.57,310.92,309.3,309.81,304.15
309.85,311.03,309.78,310.91,304.29
310.92,311.26,309.57,310.6,304.43
310.6,310.7,309.07,309.23,304.52
309.22,310.45,309.18,310.26,304.64
310.25,311.12,310.11,310.99,304.76
310.98,311.44,310.45,310.78,304.89
310.78,310.94,310.3,310.81,305.02
310.81,311.07,310.31,310.74,305.15
310.74,311.28,310.67,310.92,305.24
