Open,High,Low,Close,next open,next close
117.75,118.60,117.56,118.43,118.43,119.34
118.43,119.35,117.92,119.34,122.24,123.00
122.24,123.49,122.06,123.00,123.00,123.62
123.00,124.35,122.97,123.62,123.61,123.82
123.61,124.05,123.13,123.82,123.82,124.02
123.82,124.95,123.64,124.02,124.04,123.92
124.04,124.14,123.27,123.92,123.92,123.53
123.92,124.03,123.07,123.53,123.53,123.87
123.53,124.00,123.49,123.87,123.87,122.55
123.87,123.97,122.52,122.55,122.55,123.04
122.55,123.20,122.47,123.04,123.04,123.98
123.04,123.98,122.85,123.98,123.98,124.06
123.98,124.13,123.71,124.06,124.06,124.08
124.06,124.25,123.95,124.08,124.09,124.12
124.09,124.23,123.67,124.12,124.12,124.26
124.12,124.41,124.06,124.26,124.28,124.47
124.28,124.47,124.16,124.47,124.47,124.16
124.47,124.50,123.98,124.16,124.16,124.24
124.16,124.43,123.86,124.24,124.24,124.32
124.24,124.48,124.06,124.32,124.31,124.33
124.31,124.58,124.27,124.33,124.34,124.16
124.34,124.38,123.93,124.16,124.16,124.13
124.16,124.17,123.73,124.13,124.13,124.45
124.13,124.48,123.99,124.45,124.43,124.50
124.43,124.57,124.23,124.50,124.50,124.14
124.50,124.64,123.97,124.14,124.14,123.99
124.14,124.25,123.95,123.99,123.99,123.90
123.99,124.04,123.48,123.90,123.91,123.98
123.91,124.17,123.81,123.98,123.98,123.62
123.98,124.17,123.61,123.62,123.63,124.56
123.63,124.61,123.58,124.56,124.56,124.68
124.56,124.79,124.44,124.68,124.69,124.98
124.69,125.04,124.67,124.98,125.00,124.57
125.00,125.13,124.51,124.57,124.56,124.76
124.56,125.04,124.44,124.76,124.76,124.54
124.76,124.94,124.32,124.54,124.52,123.75
124.52,124.63,123.31,123.75,123.78,124.09
123.78,124.31,123.58,124.09,124.09,124.44
124.09,124.47,123.32,124.44,124.44,124.75
124.44,124.82,124.32,124.75,124.75,124.00
124.75,124.78,123.87,124.00,123.51,123.43
123.51,124.25,122.94,123.43,123.47,124.79
123.47,124.95,123.35,124.79,124.79,124.74
124.79,124.95,124.48,124.74,124.74,125.44
124.74,125.44,124.61,125.44,125.44,124.99
125.44,125.49,124.82,124.99,124.98,124.62
124.98,125.22,124.51,124.62,124.62,124.73
124.62,125.00,124.33,124.73,124.72,124.77
124.72,124.98,124.47,124.77,124.80,124.43
124.80,125.15,124.42,124.43,124.44,124.24
124.44,124.57,123.91,124.24,124.24,124.62
124.24,124.69,124.21,124.62,124.61,123.73
124.61,124.66,123.33,123.73,123.73,123.56
123.73,124.08,123.55,123.56,123.56,123.88
123.56,124.18,123.56,123.88,123.88,124.23
123.88,124.30,123.87,124.23,124.22,123.34
124.22,124.34,123.17,123.34,123.34,123.29
123.34,123.50,123.01,123.29,123.29,123.88
123.29,123.89,123.21,123.88,123.86,123.86
123.86,124.05,123.65,123.86,123.86,123.77
123.86,124.03,123.61,123.77,123.75,123.66
123.75,123.88,123.31,123.66,123.67,123.86
123.67,123.86,123.20,123.86,123.85,124.41
123.85,124.54,123.79,124.41,124.41,124.34
124.41,124.55,124.27,124.34,124.37,124.55
